tract_fips,1,2,3,4,5,6,7,8,9,10,11,12
36005009000,125,99,205,110,57,99,176,107,97,53,43,70
36005009200,125,99,205,110,57,99,176,107,97,53,43,70
36005009300,125,99,205,110,57,99,176,107,97,53,43,70
36005009600,125,99,205,110,57,99,176,107,97,53,43,70
36005009800,125,99,205,110,57,99,176,107,97,53,43,70
36005011000,125,99,205,110,57,99,176,107,97,53,43,70
36005011502,125,99,205,110,57,99,176,107,97,53,43,70
36005011700,125,99,205,110,57,99,176,107,97,53,43,70
36005011800,125,99,205,110,57,99,176,107,97,53,43,70
36005011900,125,99,205,110,57,99,176,107,97,53,43,70
36005012101,125,99,205,110,57,99,176,107,97,53,43,70
36005012102,125,99,205,110,57,99,176,107,97,53,43,70
36005012300,125,99,205,110,57,99,176,107,97,53,43,70
36005012500,125,99,205,110,57,99,176,107,97,53,43,70
36005012701,125,99,205,110,57,99,176,107,97,53,43,70
36005012901,125,99,205,110,57,99,176,107,97,53,43,70
36005013000,125,99,205,110,57,99,176,107,97,53,43,70
36005013100,125,99,205,110,57,99,176,107,97,53,43,70
36005013200,125,99,205,110,57,99,176,107,97,53,43,70
36005013300,125,99,205,110,57,99,176,107,97,53,43,70
36005013500,125,99,205,110,57,99,176,107,97,53,43,70
36005013800,125,99,205,110,57,99,176,107,97,53,43,70
36005014100,125,99,205,110,57,99,176,107,97,53,43,70
36005014300,125,99,205,110,57,99,176,107,97,53,43,70
36005014400,125,99,205,110,57,99,176,107,97,53,43,70
36005014500,125,99,205,110,57,99,176,107,97,53,43,70
36005014701,125,99,205,110,57,99,176,107,97,53,43,70
36005014702,125,99,205,110,57,99,176,107,97,53,43,70
36005014900,125,99,205,110,57,99,176,107,97,53,43,70
36005015100,125,99,205,110,57,99,176,107,97,53,43,70
36005015200,125,99,205,110,57,99,176,107,97,53,43,70
36005015300,125,99,205,110,57,99,176,107,97,53,43,70
36005015500,125,99,205,110,57,99,176,107,97,53,43,70
36005015700,125,99,205,110,57,99,176,107,97,53,43,70
36005015800,125,99,205,110,57,99,176,107,97,53,43,70
36005015900,125,99,205,110,57,99,176,107,97,53,43,70
36005016000,125,99,205,110,57,99,176,107,97,53,43,70
36005016100,125,99,205,110,57,99,176,107,97,53,43,70
36005016200,125,99,205,110,57,99,176,107,97,53,43,70
36005016300,125,99,205,110,57,99,176,107,97,53,43,70
36005016400,125,99,205,110,57,99,176,107,97,53,43,70
36005016500,125,99,205,110,57,99,176,107,97,53,43,70
36005016600,125,99,205,110,57,99,176,107,97,53,43,70
36005016700,125,99,205,110,57,99,176,107,97,53,43,70
36005016900,125,99,205,110,57,99,176,107,97,53,43,70
36005017100,125,99,205,110,57,99,176,107,97,53,43,70
36005017300,125,99,205,110,57,99,176,107,97,53,43,70
36005017500,125,99,205,110,57,99,176,107,97,53,43,70
36005017701,125,99,205,110,57,99,176,107,97,53,43,70
36005017702,125,99,205,110,57,99,176,107,97,53,43,70
36005017901,125,99,205,110,57,99,176,107,97,53,43,70
36005017902,125,99,205,110,57,99,176,107,97,53,43,70
36005018101,125,99,205,110,57,99,176,107,97,53,43,70
36005018102,125,99,205,110,57,99,176,107,97,53,43,70
36005018301,125,99,205,110,57,99,176,107,97,53,43,70
36005018302,125,99,205,110,57,99,176,107,97,53,43,70
36005018400,125,99,205,110,57,99,176,107,97,53,43,70
36005018500,125,99,205,110,57,99,176,107,97,53,43,70
36005018900,125,99,205,110,57,99,176,107,97,53,43,70
36005019300,125,99,205,110,57,99,176,107,97,53,43,70
36005019400,125,99,205,110,57,99,176,107,97,53,43,70
36005019500,125,99,205,110,57,99,176,107,97,53,43,70
36005019700,125,99,205,110,57,99,176,107,97,53,43,70
36005019900,125,99,205,110,57,99,176,107,97,53,43,70
36005020000,125,99,205,110,57,99,176,107,97,53,43,70
36005020100,125,99,205,110,57,99,176,107,97,53,43,70
36005020200,125,99,205,110,57,99,176,107,97,53,43,70
36005020400,125,99,205,110,57,99,176,107,97,53,43,70
36005020501,125,99,205,110,57,99,176,107,97,53,43,70
36005020502,125,99,205,110,57,99,176,107,97,53,43,70
36005020601,125,99,205,110,57,99,176,107,97,53,43,70
36005020900,125,99,205,110,57,99,176,107,97,53,43,70
36005021001,125,99,205,110,57,99,176,107,97,53,43,70
36005021002,125,99,205,110,57,99,176,107,97,53,43,70
36005021100,125,99,205,110,57,99,176,107,97,53,43,70
36005021200,125,99,205,110,57,99,176,107,97,53,43,70
36005021301,125,99,205,110,57,99,176,107,97,53,43,70
36005021302,125,99,205,110,57,99,176,107,97,53,43,70
36005021501,125,99,205,110,57,99,176,107,97,53,43,70
36005021502,125,99,205,110,57,99,176,107,97,53,43,70
36005021601,125,99,205,110,57,99,176,107,97,53,43,70
